Country,LA Type,LA Name,Total number of establishments (including not yet rated and outside)(1),Number of establishments not yet rated for intervention(1),Number of establishments outside programme(1),Total % of interventions achieved (premises rated A-C),Total % of interventions achieved - premises rated A,Total % of interventions achieved - premises rated B,Total % of interventions achieved - premises rated C,Total % of interventions achieved - premises not yet rated,"Total number of establishments subject to formal enforcement action - Seizure, detention and surrender of food",Total number of establishments subject to formal enforcement actions - Simple cautions,Total number of establishments subject to formal enforcement actions - Improvement notices,Total number of establishments subject to Written warnings,Total number of establishments subject to formal enforcement action - Prosecutions concluded,Professional Full Time Equivalent Posts - occupied *
England,County Council,Buckinghamshire and Surrey,15649,4767,1599,1.18,34.38,0.42,0.63,0.59,0,0,0,22,0,6.9
England,County Council,Cambridgeshire  ,5151,0,0,19.51,70,18.73,19.43,100,0,0,0,28,0,1.5
England,County Council,Cumbria,5237,7,0,51.72,100,100,46.75,98.06,0,0,0,80,0,2.4
England,County Council,Derbyshire,10045,188,5,30.77,100,56.22,10.59,7.32,2,0,2,30,0,1.75
England,County Council,"Devon, Somerset and Torbay  ",23834,209,0,2.45,100,2.96,1.03,84.17,0,0,0,50,0,3
England,County Council,Dorset (2),4495,0,0,2.45,100,5.65,2.41,NR,0,2,0,36,0,2.8
England,County Council,East Sussex  ,8064,171,3,2.45,84.44,40.87,13.38,93.33,0,0,0,16,0,1
England,County Council,Essex,9893,39,0,2.45,90,32.13,43.28,100,1,0,0,30,1,3.7
England,County Council,Gloucestershire  ,3625,51,0,2.45,100,100,NR,NR,0,0,0,9,0,1.87
England,County Council,Hampshire,8880,1353,0,2.45,29.17,5.3,0.71,11.22,0,0,2,150,0,3.1
England,County Council,Hertfordshire  ,8406,1045,0,2.45,16.67,2.61,2.37,8.14,0,0,0,4,1,6.44
England,County Council,Kent  ,16053,2505,0,2.45,100,80.92,95,100,0,0,0,0,0,3.8
England,County Council,Lancashire,10766,119,18,2.45,78.87,34.25,20.13,16.67,0,0,0,21,0,4
England,County Council,Leicestershire,3854,486,0,2.45,57.14,80.17,79.34,100,0,1,0,151,0,3.5
England,County Council,Lincolnshire  ,9432,66,19,2.45,8.33,1.06,1.95,50,0,0,0,7,1,2
England,County Council,Norfolk,9712,0,0,2.45,100,100,100,100,0,0,0,57,0,4.05
England,County Council,North Yorkshire  ,10184,105,0,2.45,55.73,7.67,6.9,36.36,0,0,0,18,0,2.4
England,County Council,Northamptonshire,4944,24,0,2.45,100,7.21,2.62,97.1,0,1,0,71,0,2.15
England,County Council,Nottinghamshire,7297,10,0,2.45,86.67,1.72,1.12,55.56,0,0,1,34,0,2.6
England,County Council,Oxfordshire,8120,0,0,2.45,88.46,0.99,0.83,100,0,0,0,17,0,1.68
England,County Council,Staffordshire  ,10671,188,0,2.45,100,36.02,22.49,89.26,0,0,0,64,3,3.5
England,County Council,Suffolk,11822,10823,9,2.45,32.69,6.54,4.55,100,0,0,0,13,0,2
England,County Council,Warwickshire,5507,1015,228,2.45,93.75,1.63,0.33,1.08,0,0,0,24,2,3
England,County Council,West Sussex,8116,72,0,2.45,97.67,13.1,21.88,100,0,7,0,276,6,4
England,County Council,Worcestershire,7533,2617,31,2.45,4.03,1.55,0.43,1.84,0,0,0,72,0,1
